File Number,MAE Ets,MAE Arima,MAE Prophet
1,0.896868056,0.809573087,7.009791194
2,0.630155098,0.61638044,24.36214398
3,0.609973997,0.646760605,17.54260189
4,0.921538198,0.940479201,6.809651529
5,0.753260903,0.761506163,11.37890897
6,0.758495005,0.785284855,16.94787126
7,0.957393688,0.964614903,7.351141015
8,0.826781763,0.839700216,8.231709003
9,0.818032684,0.864496024,21.19600855
10,0.787265928,0.830979593,14.89522526
11,0.762542772,0.762542772,6.06931685
12,0.64809197,0.64809197,6.778084872
13,0.832877144,0.865681687,8.078428582
14,0.836752785,0.8503964,21.3251309
15,0.708401022,0.757124292,5.636426231
16,0.472833737,0.496915249,47.49378674
17,0.69072306,0.969338113,16.66465474
18,0.776242913,0.770475456,0.770337966
19,0.890342482,0.89474596,16.07549176
20,0.570891879,0.614509825,46.85421037
21,0.830083508,0.852047448,19.71698183
22,0.781687871,0.821633608,26.45979508
23,0.580336844,0.527954406,25.35403249
24,0.492469348,0.541715983,23.61586615
25,0.714039899,0.584987203,16.8898368
26,0.898615584,1.0342319,11.54498191
27,0.520017208,0.539628537,2.923509098
28,0.688778548,0.755586879,26.05914746
29,0.458293671,0.422241213,4.611507978
30,0.488155644,0.477263746,0.611940043
31,0.570738678,0.573646992,7.177797415
32,0.723324645,0.758628688,18.16683521
33,0.606061674,0.640991576,24.86031351
34,0.609977568,0.511820116,20.51468816
35,0.464511607,0.49414196,53.29191578
36,0.719133772,0.779575564,2.57641718
37,0.54192378,0.607791465,69.62169651
38,0.733615868,0.821624424,45.70789667
39,0.740595904,0.747390484,16.942169
40,0.346532377,0.362795109,5.969020305
41,1.03989655,1.352771563,39.82947506
42,0.564362304,0.587043429,2.919173571
43,1.016859734,1.042711634,2.863777688
44,0.970799916,0.940301714,2.559099436
45,0.733544494,0.713210438,22.40938599
46,0.892391961,0.86233835,3.933154568
47,0.614587264,0.609223177,19.75429226
48,0.860857294,0.860594151,12.80851489
49,0.677878759,0.815627471,8.299575147
50,0.619972378,0.424660243,4.411184334
51,0.964050414,0.989108376,21.52573366
52,0.788081058,0.822672126,19.39551782
53,0.903324991,0.903324991,31.10272941
54,0.781416706,0.805896289,34.77513366
55,0.621101171,0.5870322,14.27077706
56,0.739425623,0.739425623,22.07605207
57,0.755283775,0.731037358,5.634711449
58,0.792476195,0.81555022,1.001806556
59,0.909115372,0.921156281,14.91157589
60,0.466031631,0.489264875,9.060304151
61,0.888682147,0.889331841,55.41866686
62,0.685353285,0.688540733,30.56250726
63,0.716002042,0.728322361,34.62438993
64,0.773483159,0.783820811,17.46974754
65,0.837865208,0.869205252,9.55863712
66,0.831533436,0.813711654,34.77558006
67,0.347811398,0.863412088,38.01565197
68,0.726589085,0.559602849,3.894853893
69,0.849839404,0.758482021,27.12554528
70,0.779149156,0.732423409,3.836546884
71,0.869707941,0.873681228,15.62086092
72,0.819658639,0.83550113,5.926482189
73,0.740321091,0.73879051,6.048106654
74,0.725997083,0.796010733,9.323477441
75,0.444088682,0.525869814,3.974525666
76,0.804206794,0.813081158,5.530961393
77,0.846879662,0.764808563,2.733219972
78,0.671831131,0.676391763,12.06777066
79,0.645390281,0.648094407,14.38758172
80,0.880155704,0.866804521,0.694053005
81,0.54451936,0.509076965,5.379906352
82,1.048826277,1.073957401,5.826923401
83,0.727138766,0.710529506,3.526871251
84,0.980077177,0.965568152,3.142214642
85,0.852349704,0.654918707,2.552548273
86,0.915262574,0.989226729,3.240292557
87,1.095849243,1.011643226,5.631012876
88,0.917778491,1.015421816,6.72338457
89,0.568802114,0.671043378,8.43516055
90,0.691956633,0.755908041,11.31270075
91,0.558966555,0.643319,23.75236214
92,0.680944344,0.672749947,8.221473301
93,0.754879109,0.756090809,10.58233874
94,0.819047261,0.991001514,2.56405643
95,0.879219437,0.881570568,11.85804069
96,0.831790268,0.837951188,7.516326568
97,0.732108836,0.731970795,5.083660071
98,0.758864444,0.756094949,7.956159615
99,0.673340799,0.714607345,2.443388222
100,0.571456836,0.579721958,11.41642733
101,0.670725168,0.680327011,23.84137638
102,0.587255905,0.629510197,8.743425914
103,0.883752307,0.893439848,13.94814639
104,0.778989156,0.85534322,17.5860277
105,0.810254463,0.813347792,23.33058618
106,0.797260145,0.873013285,19.62548697
107,0.871694269,0.959681435,12.09241142
108,0.837544728,0.837544728,37.79257738
